"27-SCI7B","1:00-2:00","Tuesday","2020-02-22 22:54:21","admin"
"27-SCI7B","1:00-2:00","Wednesday","2020-02-22 22:54:22","admin"
"27-SCI7B","1:00-2:00","Thursday","2020-02-22 22:54:24","admin"
"27-MAPEH7","2:00-3:00","Monday","2020-02-22 22:54:29","admin"
"27-MAPEH7","2:00-3:00","Tuesday","2020-02-22 22:54:31","admin"
"27-MAPEH7","2:00-3:00","Thursday","2020-02-22 22:54:34","admin"
"27-FIL7","3:00-4:00","Monday","2020-02-22 22:54:38","admin"
"27-FIL7","3:00-4:00","Tuesday","2020-02-22 22:54:39","admin"
"27-FIL7","3:00-4:00","Thursday","2020-02-22 22:54:42","admin"
"28-MATH7A","6:00-7:00","Monday","2020-02-22 22:54:53","admin"
"28-MATH7A","6:00-7:00","Tuesday","2020-02-22 22:54:55","admin"
"28-MATH7A","6:00-7:00","Wednesday","2020-02-22 22:55:02","admin"
"28-MATH7A","6:00-7:00","Friday","2020-02-22 22:55:03","admin"
"28-AP7","6:00-7:00","Thursday","2020-02-22 22:55:06","admin"
"28-AP7","7:00-8:00","Monday","2020-02-22 22:55:11","admin"
"28-RESEARCH7","7:00-8:00","Tuesday","2020-02-22 22:55:13","admin"
"28-RESEARCH7","7:00-8:00","Wednesday","2020-02-22 22:55:15","admin"
"28-RESEARCH7","7:00-8:00","Thursday","2020-02-22 22:55:16","admin"
"28-RESEARCH7","7:00-8:00","Friday","2020-02-22 22:55:17","admin"
"28-ENG7","8:00-9:00","Monday","2020-02-22 22:55:21","admin"
"28-ENG7","8:00-9:00","Tuesday","2020-02-22 22:55:23","admin"
"28-AP7","8:00-9:00","Wednesday","2020-02-22 22:55:24","admin"
"28-ENG7","8:00-9:00","Thursday","2020-02-22 22:55:26","admin"
"28-ENG7","8:00-9:00","Friday","2020-02-22 22:55:27","admin"
"28-ESP7","9:20-10:20","Tuesday","2020-02-22 22:55:36","admin"
"28-MAPEH7","9:20-10:20","Wednesday","2020-02-22 22:55:40","admin"
"28-MAPEH7","9:20-10:20","Thursday","2020-02-22 22:55:44","admin"
"28-MAPEH7","9:20-10:20","Friday","2020-02-22 22:55:45","admin"
"28-SCI7A","10:20-11:20","Monday","2020-02-22 22:55:56","admin"
"28-SCI7B","10:20-11:20","Tuesday","2020-02-22 22:55:57","admin"
"28-SCI7A","10:20-11:20","Wednesday","2020-02-22 22:56:01","admin"
"28-SCI7A","10:20-11:20","Thursday","2020-02-22 22:56:03","admin"
"28-SCI7A","10:20-11:20","Friday","2020-02-22 22:56:05","admin"
"28-MATH7B","11:20-12:20","Monday","2020-02-22 22:56:10","admin"
"28-MAPEH7","11:20-12:20","Tuesday","2020-02-22 22:56:14","admin"
"28-MATH7B","11:20-12:20","Wednesday","2020-02-22 22:56:18","admin"
"28-MATH7B","11:20-12:20","Thursday","2020-02-22 22:56:20","admin"
"28-MATH7B","11:20-12:20","Friday","2020-02-22 22:56:22","admin"
"28-TLE7","1:00-2:00","Monday","2020-02-22 22:56:29","admin"
"28-TLE7","1:00-2:00","Tuesday","2020-02-22 22:56:31","admin"
"28-TLE7","1:00-2:00","Thursday","2020-02-22 22:56:33","admin"
"28-TLE7","1:00-2:00","Friday","2020-02-22 22:56:34","admin"
"28-SCI7B","1:00-2:00","Wednesday","2020-02-22 22:56:39","admin"
"28-FIL7","2:00-3:00","Monday","2020-02-22 22:56:44","admin"
"28-FIL7","2:00-3:00","Tuesday","2020-02-22 22:56:46","admin"
"28-FIL7","2:00-3:00","Wednesday","2020-02-22 22:56:47","admin"
"28-FIL7","2:00-3:00","Friday","2020-02-22 22:56:49","admin"
"28-SCI7B","2:00-3:00","Thursday","2020-02-22 22:56:52","admin"
"28-SCI7B","3:00-4:00","Friday","2020-02-22 22:56:55","admin"
"29-MATH8A","6:00-7:00","Monday","2020-02-22 22:57:12","admin"
"29-MATH8A","6:00-7:00","Tuesday","2020-02-22 22:57:14","admin"
"29-MATH8A","6:00-7:00","Wednesday","2020-02-22 22:57:15","admin"
"29-MATH8A","6:00-7:00","Thursday","2020-02-22 22:57:17","admin"
"29-AP8","6:00-7:00","Friday","2020-02-22 22:57:20","admin"
"29-SCI8B","7:00-8:00","Monday","2020-02-22 22:57:24","admin"
"29-SCI8B","7:00-8:00","Tuesday","2020-02-22 22:57:25","admin"
"29-SCI8B","7:00-8:00","Wednesday","2020-02-22 22:57:27","admin"
"29-SCI8B","7:00-8:00","Friday","2020-02-22 22:57:29","admin"
"29-AP8","7:00-8:00","Thursday","2020-02-22 22:57:31","admin"
"29-ESP8","8:00-9:00","Monday","2020-02-22 22:57:35","admin"
"29-AP8","8:00-9:00","Tuesday","2020-02-22 22:57:38","admin"
"29-ESP8","8:00-9:00","Wednesday","2020-02-22 22:57:41","admin"
"29-TLE8","8:00-9:00","Friday","2020-02-22 22:57:52","admin"
"29-MATH8B","9:20-10:20","Monday","2020-02-22 22:58:04","admin"
"29-MATH8B","9:20-10:20","Tuesday","2020-02-22 22:58:08","admin"
"29-MATH8B","9:20-10:20","Wednesday","2020-02-22 22:58:12","admin"
"29-TLE8","9:20-10:20","Thursday","2020-02-22 22:58:17","admin"
"29-MATH8B","9:20-10:20","Friday","2020-02-22 22:58:21","admin"
"26-HOMEROOM7","2:00-3:00","Wednesday","2020-02-22 23:00:06","admin"
"27-HOMEROOM7","2:00-3:00","Wednesday","2020-02-22 23:00:16","admin"
"28-HOMEROOM7","3:00-4:00","Thursday","2020-02-22 23:00:28","admin"
"29-HOMEROOM8","8:00-9:00","Thursday","2020-02-22 23:00:38","admin"
"29-MAPEH8","10:20-11:20","Monday","2020-02-22 23:00:46","admin"
